2026-03-30 17:47:38, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:39, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:39, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:40, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:41, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:41, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:41, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:42, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:42, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:43, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:44, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:44, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:44, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:45, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:46, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:46, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:47, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:47, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:48, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:48, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:49, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:49, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:50, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:50, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:51, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:51, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:51, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:52, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:52, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:53, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:53, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:54, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:54, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:55, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:55, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:56, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:56, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:57, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:57, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:58, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:58, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:47:59, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:47:59, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:00, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:00, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:01, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:01, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:02, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:48:02, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:48:02, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 17:48:03, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:03, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:04, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:04, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 17:48:05, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
